"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042110","T cell activation","213/4308","464/18670",5.65547315135484e-28,3.60027420815249e-24,2.93370228314491e-24,"SIRPG/BTLA/CTLA4/RHOH/SLAMF6/LY9/TIGIT/CARD11/SASH3/CAMK4/ICOS/IRF4/LAX1/CD28/MYB/CD2/TESPA1/DOCK2/CORO1A/CD3E/SIT1/PTPN22/CD6/TNFRSF13C/CD5/CLECL1/NLRC3/PDCD1/SPN/LCK/CD27/CCR2/CD3G/DOCK8/ITK/VAV1/TREML2/FUT7/LILRB1/TNFSF8/PTPRC/CCR6/KLRK1/NCKAP1L/BCL11B/IL12RB1/CCDC88B/CD3D/RAC2/PLA2G2D/APBB1IP/WAS/FANCD2/BTN2A2/EOMES/LAG3/RASGRP1/RASAL3/JAML/IL7R/RUNX3/ITGAL/ZAP70/CCL19/CD8A/TNFRSF18/CD8B/LCP1/IL18/GPR18/PIK3CD/GRAP2/RIPOR2/MICB/CD40LG/BTN3A1/JAK3/ITPKB/CD86/TCF7/TMIGD2/FOXP3/TNFSF11/HAVCR2/NFATC2/TNFSF9/HLA-DOA/BATF/CD83/HLA-DPB1/P2RX7/RUNX2/THEMIS/TNFAIP8L2/PIK3CG/NOD2/CD47/DPP4/IFNG/TBX21/TMEM131L/PAG1/CASP8/IL7/GPR183/EBI3/TNFSF4/AIRE/SLA2/ZBTB1/IHH/CD70/PTPN6/HLA-DPA1/LILRB4/CCR7/FOXN1/XCL1/WNT1/ADAM8/FCGR2B/CSK/IL23A/CD7/CGAS/PYCARD/ZC3H8/CD1C/ERBB2/CD160/CDK6/IL23R/IL12A/CD4/FANCA/CCR9/CLEC7A/CD74/IL4R/TNFSF13B/LEF1/CLPTM1/CD274/IL1B/IRF1/ABL1/KDELR1/CR1/CD300A/CASP3/LIG4/MALT1/LGALS9/HHLA2/GATA3/HLA-G/STOML2/VCAM1/B2M/RAC1/EFNB1/AP3D1/ELF4/CD151/PRDX2/SOS1/ADORA2A/TNFRSF1B/ZMIZ1/PTPN2/PDCD1LG2/HLA-DMB/DUSP3/SOD1/ZBTB7B/ADA/LAT/PTGER4/IL6R/CD80/DTX1/NLRP3/AP3B1/AGER/SIRPB1/TCIRG1/CEBPB/PRDM1/BAD/FAM49B/BCL10/PAK2/CLEC4A/DDOST/NCSTN/PELI1/FKBP1A/CD44/CYLD/TGFB1/PPP3CB/IL2RA/LOXL3/SH3RF1/LFNG/RHOA/GSN/TNFRSF21/PRKCZ/RUNX1/AIF1/SELENOK/ARG2",213
"GO:0050863","regulation of T cell activation","157/4308","314/18670",9.49348263639387e-26,3.02177552316417e-22,2.46230960169205e-22,"SIRPG/BTLA/CTLA4/TIGIT/CARD11/SASH3/CAMK4/ICOS/IRF4/LAX1/CD28/MYB/CD2/TESPA1/CORO1A/CD3E/SIT1/PTPN22/CD6/TNFRSF13C/CD5/CLECL1/PDCD1/SPN/LCK/CD27/CCR2/DOCK8/VAV1/LILRB1/TNFSF8/PTPRC/KLRK1/NCKAP1L/IL12RB1/CCDC88B/RAC2/PLA2G2D/FANCD2/BTN2A2/LAG3/RASGRP1/RASAL3/IL7R/RUNX3/ZAP70/CCL19/TNFRSF18/IL18/GRAP2/RIPOR2/CD40LG/JAK3/ITPKB/CD86/TMIGD2/FOXP3/TNFSF11/HAVCR2/NFATC2/TNFSF9/HLA-DOA/CD83/HLA-DPB1/TNFAIP8L2/NOD2/CD47/DPP4/IFNG/TBX21/TMEM131L/PAG1/IL7/EBI3/TNFSF4/ZBTB1/IHH/CD70/PTPN6/HLA-DPA1/LILRB4/CCR7/FOXN1/XCL1/ADAM8/FCGR2B/CSK/IL23A/CGAS/PYCARD/ZC3H8/ERBB2/CD160/IL23R/IL12A/CD4/FANCA/CD74/IL4R/TNFSF13B/CLPTM1/CD274/IL1B/IRF1/ABL1/CR1/CD300A/CASP3/MALT1/LGALS9/HHLA2/GATA3/HLA-G/VCAM1/RAC1/EFNB1/AP3D1/PRDX2/SOS1/ADORA2A/TNFRSF1B/ZMIZ1/PTPN2/PDCD1LG2/HLA-DMB/DUSP3/SOD1/ZBTB7B/ADA/LAT/IL6R/CD80/DTX1/NLRP3/AP3B1/AGER/SIRPB1/CEBPB/PRDM1/BAD/FAM49B/BCL10/PAK2/PELI1/CYLD/TGFB1/IL2RA/LOXL3/SH3RF1/RHOA/GSN/TNFRSF21/PRKCZ/RUNX1/AIF1/SELENOK/ARG2",157
"GO:0019882","antigen processing and presentation","123/4308","226/18670",1.24732112037755e-24,2.64681541744116e-21,2.1567713969195e-21,"HLA-DOB/CYBB/WAS/LAG3/CCL19/CD8A/NCF1/CENPE/KIF11/RACGAP1/ERAP1/HLA-DOA/CTSS/KIF4A/HLA-DPB1/KIF23/RAB33A/NOD2/KIF15/RAB8B/HLA-F/MARCHF1/PSMC3/RAB34/CTSH/HLA-DPA1/HLA-DRA/FCGR1A/CCR7/NCF4/FCGR2B/PSMB5/PSMC5/PYCARD/CD1C/HLA-B/TAP1/HLA-DQA1/CD1A/PSMD8/CLTA/PSMB6/ARF1/PSMB4/DYNC1I1/CD1E/CD207/AP1M2/CD74/PSMB1/CD1B/BCAP31/HLA-DQB2/DCTN3/PSMC4/HLA-DMA/DCTN2/SEC13/KIF2C/PSMD1/TAP2/HLA-G/KIF2A/PSMD3/AP1S2/ACTR1B/B2M/AP3D1/PSMB8/RILP/IFI30/AP2S1/PSMD9/PSMB9/PSMD14/PSMC1/TREM2/ACTR1A/PSMC2/RAB7A/PSMA7/HLA-DRB1/AP2M1/PSMA3/PSMD4/PSMD2/HLA-DMB/PSMA8/PSMA1/AP3B1/CLEC4M/LGMN/IKBKB/LNPEP/PSMB7/CTSL/YTHDF1/VAMP8/PSMA6/SEC31A/PSMA2/AP1S1/PSMB2/PSMD7/RAB3B/CLEC4A/DCTN1/CLTC/PSMD13/HLA-DQB1/DCTN6/PSME3/SPTBN2/HLA-C/ERAP2/SNAP23/CALR/PSMD11/PSMA4/KIF22/PSMF1/PDIA3/HLA-A",123
"GO:0019884","antigen processing and presentation of exogenous antigen","105/4308","182/18670",6.6923994289122e-24,1.06509536911138e-20,8.67898536465246e-21,"HLA-DOB/CYBB/LAG3/NCF1/CENPE/KIF11/RACGAP1/HLA-DOA/CTSS/KIF4A/HLA-DPB1/KIF23/KIF15/HLA-F/PSMC3/HLA-DPA1/HLA-DRA/FCGR1A/NCF4/FCGR2B/PSMB5/PSMC5/CD1C/HLA-B/TAP1/HLA-DQA1/CD1A/PSMD8/CLTA/PSMB6/ARF1/PSMB4/DYNC1I1/CD1E/CD207/AP1M2/CD74/PSMB1/CD1B/HLA-DQB2/DCTN3/PSMC4/HLA-DMA/DCTN2/SEC13/KIF2C/PSMD1/TAP2/HLA-G/KIF2A/PSMD3/AP1S2/ACTR1B/B2M/AP3D1/PSMB8/RILP/IFI30/AP2S1/PSMD9/PSMB9/PSMD14/PSMC1/ACTR1A/PSMC2/RAB7A/PSMA7/HLA-DRB1/AP2M1/PSMA3/PSMD4/PSMD2/HLA-DMB/PSMA8/PSMA1/AP3B1/LGMN/IKBKB/LNPEP/PSMB7/CTSL/VAMP8/PSMA6/SEC31A/PSMA2/AP1S1/PSMB2/PSMD7/CLEC4A/DCTN1/CLTC/PSMD13/HLA-DQB1/DCTN6/PSME3/SPTBN2/HLA-C/SNAP23/CALR/PSMD11/PSMA4/KIF22/PSMF1/PDIA3/HLA-A",105
"GO:0007159","leukocyte cell-cell adhesion","160/4308","337/18670",3.59361036856403e-23,4.57538472125573e-20,3.72827618869128e-20,"SIRPG/BTLA/CTLA4/TIGIT/CARD11/SASH3/ITGA4/ICOS/LAX1/CD28/MYB/TESPA1/CORO1A/CD3E/PTPN22/CD6/TNFRSF13C/CD5/CLECL1/PDCD1/SPN/LCK/CD27/CCR2/DOCK8/VAV1/LILRB1/PTPRC/KLRK1/NCKAP1L/IL12RB1/CCDC88B/RAC2/PLA2G2D/BTN2A2/LAG3/RASGRP1/RASAL3/IL7R/RUNX3/ITGAL/TNF/ZAP70/CCL19/IL18/GRAP2/RIPOR2/CD40LG/JAK3/ITPKB/CD86/TMIGD2/FOXP3/TNFSF11/ITGB2/HAVCR2/SELL/TNFSF9/ITGB7/CD83/HLA-DPB1/SELPLG/SEMA4D/TNFAIP8L2/SKAP1/NOD2/CD47/STK10/DPP4/IFNG/TBX21/TMEM131L/PAG1/ADTRP/FERMT3/IL7/EBI3/TNFSF4/ZBTB1/IHH/CD70/PTPN6/HLA-DPA1/LILRB4/CCR7/XCL1/ADAM8/FCGR2B/CSK/IL23A/PTAFR/PYCARD/ZC3H8/ERBB2/CD160/ELANE/IL23R/IL12A/CD4/TSTA3/CD74/IL4R/TNFSF13B/CD274/IL1B/IRF1/CD300A/CASP3/MALT1/LGALS9/ASS1/CCL25/HHLA2/CXCL12/ETS1/GATA3/HLA-G/MADCAM1/VCAM1/RAC1/EFNB1/AP3D1/PRDX2/SELP/ADORA2A/ZMIZ1/PTPN2/PDCD1LG2/HLA-DMB/DUSP3/ZBTB7B/ADA/IL6R/CD80/DTX1/NLRP3/AP3B1/CLEC4M/AGER/SIRPB1/GCNT1/CEBPB/BAD/FAM49B/BCL10/PAK2/PELI1/CD44/CYLD/TGFB1/IL2RA/LOXL3/CX3CR1/RHOA/TNFRSF21/PRKCZ/RUNX1/AIF1/SELENOK/ARG2",160
"GO:0030098","lymphocyte differentiation","165/4308","353/18670",5.98099635821014e-23,6.34583713606095e-20,5.17093860583501e-20,"POU2F2/CD19/CTLA4/BTK/RHOH/SLAMF6/MS4A1/CD79A/LY9/IKZF1/CD79B/CARD11/SASH3/CAMK4/ITGA4/IRF4/IKZF3/CD28/MYB/CD2/TESPA1/DOCK2/CD3E/PTPN22/SPN/LCK/CD27/CCR2/CD3G/ITK/VAV1/CR2/FCRL3/FUT7/TNFSF8/PTPRC/ATM/CCR6/HDAC9/NCKAP1L/BCL11B/IL12RB1/CD3D/AICDA/PLA2G2D/FANCD2/BTN2A2/EOMES/LAG3/RASGRP1/INPP5D/SLAMF8/IL7R/DOCK10/RUNX3/ZAP70/CCL19/CD8A/TNFRSF18/PLCG2/IL18/GPR18/PIK3CD/TOX/TLR9/CD40LG/JAK3/ITPKB/CD86/TCF7/FOXP3/NFATC2/TNFSF9/HLA-DOA/BATF/CD83/RUNX2/THEMIS/PTK2B/FLT3/IFNG/TBX21/TMEM131L/IL7/ATP11C/GPR183/TNFSF4/AIRE/ZBTB1/IHH/PTPN6/C17orf99/PLCL2/LILRB4/CCR7/FOXN1/WNT1/ADAM8/FCGR2B/IL23A/NFAM1/ZC3H8/ERBB2/HMGB3/CDK6/IL23R/IL12A/CD4/FANCA/CCR9/CD74/IL4R/LEF1/ITFG2/CLPTM1/IRF1/ABL1/KDELR1/CR1/LIG4/MALT1/LGALS9/SPI1/GATA3/HLA-G/LYL1/VCAM1/B2M/AP3D1/INHA/PGLYRP2/CDH17/PRDX2/SOS1/PPP2R3C/GPS2/ZMIZ1/PTPN2/SOD1/ZBTB7B/ADA/PTGER4/CD80/DTX1/NLRP3/TCF3/TUSC2/AP3B1/TCIRG1/CLCF1/FLT3LG/PRDM1/BAD/MFNG/CYLD/TGFB1/PPP3CB/IL2RA/LOXL3/SH3RF1/LFNG/RHOA/PRKCZ/RUNX1/ADGRG3",165
"GO:0050852","T cell receptor signaling pathway","111/4308","202/18670",8.22306961361865e-23,7.01363463199798e-20,5.71509689079916e-20,"CTLA4/BTK/TRAT1/CARD11/TXK/CD28/KCNN4/TESPA1/CD3E/PTPN22/LCK/CD3G/ITK/PTPRC/FYB1/CD3D/WAS/BTN2A2/INPP5D/BTN1A1/LCP2/ZAP70/UBASH3A/PLCG2/PIK3CD/GRAP2/CD247/BTN3A1/FOXP3/BTN3A2/CD226/HLA-DPB1/THEMIS/BTN3A3/SKAP1/NECTIN2/BTN2A1/PAG1/PSMC3/PTPN6/HLA-DPA1/HLA-DRA/LILRB4/CCR7/PSMB5/CSK/PSMC5/HLA-DQA1/BCAR1/CD160/PSMD8/PSMB6/PSMB4/CD4/PSMB1/HLA-DQB2/PSMC4/ABL1/FYB2/CD300A/MALT1/EIF2B2/HHLA2/PRAM1/PSMD1/GATA3/PSMD3/STOML2/PSMB8/PSMD9/THEMIS2/PSMB9/PSMD14/PSMC1/BTNL2/CACNA1F/PSMC2/PSMA7/HLA-DRB1/PSMA3/PSMD4/PSMD2/PTPN2/DUSP3/PSMA8/ADA/LAT/EIF2B4/PSMA1/IKBKB/PSMB7/SPPL3/PSMA6/SKP1/PSMA2/PSMB2/BTN2A3P/PSMD7/BCL10/PAK2/PSMD13/HLA-DQB1/CYLD/PSME3/PSMD11/PSMA4/TAB2/TNFRSF21/DENND1B/PSMF1/MOG",111
"GO:0048002","antigen processing and presentation of peptide antigen","106/4308","189/18670",8.81386695821299e-23,7.01363463199798e-20,5.71509689079916e-20,"HLA-DOB/CYBB/LAG3/NCF1/CENPE/KIF11/RACGAP1/ERAP1/HLA-DOA/CTSS/KIF4A/HLA-DPB1/KIF23/KIF15/HLA-F/MARCHF1/PSMC3/HLA-DPA1/HLA-DRA/FCGR1A/NCF4/FCGR2B/PSMB5/PSMC5/PYCARD/HLA-B/TAP1/HLA-DQA1/PSMD8/CLTA/PSMB6/ARF1/PSMB4/DYNC1I1/CD207/AP1M2/CD74/PSMB1/BCAP31/HLA-DQB2/DCTN3/PSMC4/HLA-DMA/DCTN2/SEC13/KIF2C/PSMD1/TAP2/HLA-G/KIF2A/PSMD3/AP1S2/ACTR1B/B2M/PSMB8/RILP/IFI30/AP2S1/PSMD9/PSMB9/PSMD14/PSMC1/TREM2/ACTR1A/PSMC2/RAB7A/PSMA7/HLA-DRB1/AP2M1/PSMA3/PSMD4/PSMD2/HLA-DMB/PSMA8/PSMA1/CLEC4M/LGMN/IKBKB/LNPEP/PSMB7/CTSL/VAMP8/PSMA6/SEC31A/PSMA2/AP1S1/PSMB2/PSMD7/CLEC4A/DCTN1/CLTC/PSMD13/HLA-DQB1/DCTN6/PSME3/SPTBN2/HLA-C/ERAP2/SNAP23/CALR/PSMD11/PSMA4/KIF22/PSMF1/PDIA3/HLA-A",106
"GO:0022407","regulation of cell-cell adhesion","179/4308","402/18670",7.30571924990135e-22,4.73079728622452e-19,3.85491493071985e-19,"SIRPG/BTLA/CTLA4/TIGIT/CARD11/SASH3/ITGA4/ICOS/LAX1/CD28/MYB/TESPA1/CORO1A/CD3E/PTPN22/CD6/TNFRSF13C/CD5/CLECL1/PDCD1/SPN/LCK/CD27/CCR2/DOCK8/VAV1/LILRB1/PTPRC/KLRK1/NCKAP1L/IL12RB1/CCDC88B/PLA2G2D/CXCL13/BTN2A2/LAG3/RASGRP1/RASAL3/IL7R/RUNX3/TNF/ZAP70/CCL19/AKNA/IL18/GRAP2/RIPOR2/CD40LG/JAK3/ITPKB/CD86/TMIGD2/FOXP3/TNFSF11/ITGB2/HAVCR2/TNFSF9/CD83/HLA-DPB1/TNFAIP8L2/SKAP1/NOD2/ADAM19/CD47/DPP4/IFNG/TBX21/TMEM131L/PAG1/ADTRP/FERMT3/IL7/EBI3/TNFSF4/ZBTB1/IHH/CD70/PTPN6/HLA-DPA1/LILRB4/CCR7/XCL1/WNT1/ADAM8/FCGR2B/CSK/IL23A/PTAFR/PYCARD/ZC3H8/PTPN23/FLOT1/ERBB2/DMTN/CD160/ELANE/IL23R/IL12A/BMP6/CD4/NF2/CD74/ADAMTS18/IL4R/TNFSF13B/LEF1/CD274/IL1B/IRF1/ABL1/CD300A/JAK2/CASP3/MALT1/LGALS9/ASS1/CCL25/MDGA1/HHLA2/TNR/CXCL12/ETS1/GATA3/HLA-G/VCAM1/RAC1/FXYD5/EFNB1/AP3D1/PRDX2/VEGFA/ADORA2A/ZMIZ1/PTPN2/PDCD1LG2/HLA-DMB/DUSP3/CD9/ZBTB7B/ADA/MAPK7/IL6R/SPINT2/CD80/DTX1/NLRP3/AP3B1/FOXA2/EFNA5/AGER/SIRPB1/ALOX15/CEBPB/ITGA6/BAD/FAM49B/MYO10/BCL10/PAK2/PELI1/PTK2/EPB41L5/CD44/CYLD/MBP/TGFB1/IL2RA/SWAP70/LOXL3/RHOA/EPCAM/PLPP3/TNFRSF21/PRKCZ/RUNX1/AIF1/SELENOK/SH2B3/ARG2",179
"GO:1903037","regulation of leukocyte cell-cell adhesion","146/4308","304/18670",7.43987878458912e-22,4.73079728622452e-19,3.85491493071985e-19,"SIRPG/BTLA/CTLA4/TIGIT/CARD11/SASH3/ITGA4/ICOS/LAX1/CD28/MYB/TESPA1/CORO1A/CD3E/PTPN22/CD6/TNFRSF13C/CD5/CLECL1/PDCD1/SPN/LCK/CD27/CCR2/DOCK8/VAV1/LILRB1/PTPRC/KLRK1/NCKAP1L/IL12RB1/CCDC88B/PLA2G2D/BTN2A2/LAG3/RASGRP1/RASAL3/IL7R/RUNX3/TNF/ZAP70/CCL19/IL18/GRAP2/RIPOR2/CD40LG/JAK3/ITPKB/CD86/TMIGD2/FOXP3/TNFSF11/ITGB2/HAVCR2/TNFSF9/CD83/HLA-DPB1/TNFAIP8L2/SKAP1/NOD2/CD47/DPP4/IFNG/TBX21/TMEM131L/PAG1/ADTRP/IL7/EBI3/TNFSF4/ZBTB1/IHH/CD70/PTPN6/HLA-DPA1/LILRB4/CCR7/XCL1/ADAM8/FCGR2B/CSK/IL23A/PTAFR/PYCARD/ZC3H8/ERBB2/CD160/ELANE/IL23R/IL12A/CD4/CD74/IL4R/TNFSF13B/CD274/IL1B/IRF1/CD300A/CASP3/MALT1/LGALS9/ASS1/CCL25/HHLA2/CXCL12/ETS1/GATA3/HLA-G/VCAM1/RAC1/EFNB1/AP3D1/PRDX2/ADORA2A/ZMIZ1/PTPN2/PDCD1LG2/HLA-DMB/DUSP3/ZBTB7B/ADA/IL6R/CD80/DTX1/NLRP3/AP3B1/AGER/SIRPB1/CEBPB/BAD/FAM49B/BCL10/PAK2/PELI1/CD44/CYLD/TGFB1/IL2RA/LOXL3/RHOA/TNFRSF21/PRKCZ/RUNX1/AIF1/SELENOK/ARG2",146
