"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042100","B cell proliferation","5/37","95/18670",1.17534272582802e-06,0.000761990727701013,0.000625128873276053,"MS4A1/MZB1/CD79A/TNFRSF13B/CD19",5
"GO:0042113","B cell activation","7/37","310/18670",2.18335452063327e-06,0.000761990727701013,0.000625128873276053,"IGLL5/LAX1/MS4A1/MZB1/CD79A/TNFRSF13B/CD19",7
"GO:0051249","regulation of lymphocyte activation","8/37","485/18670",3.89488473547801e-06,0.000906209848454551,0.00074344466529826,"IGLL5/TIGIT/SIRPG/IRF4/LAX1/MZB1/TNFRSF13B/CD19",8
"GO:0050853","B cell receptor signaling pathway","5/37","129/18670",5.31819632412166e-06,0.00092802525855923,0.00076134178955847,"IGLL5/MS4A1/CD79A/STAP1/CD19",5
"GO:0050851","antigen receptor-mediated signaling pathway","6/37","316/18670",3.34942388748275e-05,0.00340473464028711,0.00279320712459085,"IGLL5/LAX1/MS4A1/CD79A/STAP1/CD19",6
"GO:0002429","immune response-activating cell surface receptor signaling pathway","7/37","473/18670",3.4144903269355e-05,0.00340473464028711,0.00279320712459085,"IGLL5/MUC2/LAX1/MS4A1/CD79A/STAP1/CD19",7
"GO:0002757","immune response-activating signal transduction","7/37","473/18670",3.4144903269355e-05,0.00340473464028711,0.00279320712459085,"IGLL5/MUC2/LAX1/MS4A1/CD79A/STAP1/CD19",7
"GO:0006959","humoral immune response","6/37","356/18670",6.50153136095535e-05,0.00567258611243354,0.00465372771099962,"IGLL5/POU2AF1/MS4A1/JCHAIN/CXCL9/CD19",6
"GO:0046651","lymphocyte proliferation","5/37","272/18670",0.000188287808474178,0.0135975620347592,0.0111552914295114,"MS4A1/MZB1/CD79A/TNFRSF13B/CD19",5
"GO:0032943","mononuclear cell proliferation","5/37","274/18670",0.000194807479008011,0.0135975620347592,0.0111552914295114,"MS4A1/MZB1/CD79A/TNFRSF13B/CD19",5
"GO:0070661","leukocyte proliferation","5/37","298/18670",0.000287284187464272,0.0182294875318238,0.0149552725340253,"MS4A1/MZB1/CD79A/TNFRSF13B/CD19",5
"GO:0050864","regulation of B cell activation","4/37","184/18670",0.000467669346283568,0.0272027669754942,0.0223168530156369,"IGLL5/MZB1/TNFRSF13B/CD19",4
"GO:0043011","myeloid dendritic cell differentiation","2/37","18/18670",0.000573122138080892,0.0307722501831125,0.0252452180660733,"IRF4/UBD",2
