"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098798","mitochondrial protein complex","140/4502","259/19717",6.40822322015711e-28,4.45171698168974e-25,3.40521404090799e-25,"TIMM50/MRPL2/MCUB/HSD17B10/NDUFS5/NDUFB7/TIMM17B/MICOS13/NDUFB8/NDUFA7/NDUFV1/COX6A1/NDUFS6/NDUFB9/NDUFA13/ROMO1/MRPS11/NDUFS8/NDUFA11/NDUFA3/CHCHD10/MRPL28/NDUFC2/MRPL20/ATP5MPL/NDUFA1/DNA2/MRPS7/ATP5MC1/NDUFB2/NDUFB11/NDUFA12/MRPL54/NDUFV3/UQCRQ/SLC25A6/NDUFA6/ATP5PD/CHCHD6/UQCRC1/UQCR10/PDK1/MRPS26/MRPL24/ATP5F1D/NDUFA2/MRPL40/NDUFB10/NDUFAB1/MRPL38/BCKDHA/MALSU1/NDUFB1/MRPS28/TIMM13/NDUFS7/ATP5ME/NDUFA8/MTX1/ATP5MF/NDUFS4/MRPL12/MRPL27/NDUFA10/COX4I1/NDUFS3/NDUFA4/MRPL4/COX5A/MRPL23/NDUFB4/NDUFA9/ATP5F1B/ATP5MG/ATP5MC3/ATP5F1E/BCKDK/MICOS10/NDUFS2/ATP5F1A/CYC1/MRPL14/APOO/COA3/NDUFB6/MRPS18A/MRPL43/NDUFV2/TIMM8B/MRPL17/SMDT1/MRPS18B/MRPS36/MRPL34/SPG7/MCCC2/ATP5PF/MRPL46/ATP5F1C/MRPL3/MRPL22/ATP5MD/NDUFC1/MTX3/MRPS15/UQCC3/ATP5PB/UQCRFS1/TIMM17A/MRPL51/CHCHD3/TOMM40/DMAC2/SAMM50/TIMM10/SDHB/C15orf48/ATP5PO/MRPS18C/SDHC/MRPS35/MRPL52/AGK/MPV17L2/MRPL15/MRPL47/MFN1/PPIF/MRPL37/MRPS22/MRPL57/AFG3L2/MRPL21/NSUN4/VDAC1/MRPS5/MRPL32/MRPL36/IMMT/NDUFB3",140
"GO:0005743","mitochondrial inner membrane","214/4502","473/19717",1.16996504117996e-27,4.45171698168974e-25,3.40521404090799e-25,"TIMM50/SLC25A1/MRPL2/MCUB/TIMM44/SLC25A40/ACADVL/NDUFS5/NDUFB7/TIMM17B/COX5B/MICOS13/NDUFB8/NDUFAF3/COX8A/NDUFA7/NDUFV1/COX6A1/NDUFS6/NDUFB9/NDUFA13/ROMO1/COQ4/UQCR11/CKMT1B/MRPS11/ALDH18A1/MTCH1/NDUFS8/FPGS/NDUFA11/NDUFA3/CHCHD10/MRPL28/NDUFC2/MRPL20/AURKAIP1/ATP5MPL/NDUFA1/GCAT/MRPS7/COX7A1/CKMT1A/ATP5MC1/NDUFB2/NDUFB11/TMEM11/NDUFA12/MRPL54/NDUFV3/UQCRQ/SLC25A6/DNAJC30/NDUFA6/COX7A2/COA1/ATP5PD/MPC1/CHCHD6/UQCRC1/UQCR10/MRPS26/COX6B1/MRPL24/ATP5F1D/NDUFA2/MRPL40/NDUFB10/SLC25A3/NDUFAB1/MRPL38/COX7B/PET100/NDUFB1/MRPS28/MTLN/LETM1/COX6C/TIMM13/SPHK2/NDUFS7/ATP5ME/NDUFA8/RDH13/ATP5MF/COX7C/NDUFS4/MRPL12/COQ7/MRPL27/SLC25A4/NDUFA10/COX4I1/NDUFS3/NDUFA4/SLC25A33/SLC25A39/COQ6/HIGD1A/MRPL4/STOML2/COX5A/MRPL23/NDUFB4/PARL/NDUFA9/ATP5F1B/ATP5MG/ATP5MC3/DUSP18/ATP5F1E/MICOS10/NDUFS2/ATP5F1A/CYC1/MRPL14/APOO/COA3/CPOX/NDUFB6/FECH/MRPS18A/PHB/MRPL43/NDUFV2/TIMM8B/ERAL1/SLC25A38/MRPL17/SMDT1/SLC25A25/PINK1/MRPS18B/SLC25A35/MRPS36/MRPL34/SPG7/MTCH2/GOT2/MRPS23/UQCC2/ATP5PF/SCO1/MRPL46/ATP5F1C/PRODH2/HIGD2A/CRAT/DMAC2L/SLC25A19/MRPL3/MRPL22/ATP5MD/ATAD3A/NDUFC1/SLC25A30/MRPS15/ABCB8/ECSIT/UQCC3/TYMS/CRLS1/ENDOG/ATP5PB/SNCA/UQCRFS1/TDH/CYP27A1/COQ9/TIMM17A/MRPL51/CHCHD3/TMEM177/LDHD/TOMM40/DMAC2/TIMM10/SDHB/MPV17/THEM4/C15orf48/ATP5PO/MRPS18C/SDHC/MRPS35/MRPL52/AGK/SURF1/LRRK2/TMEM65/MPV17L2/MRPL15/MRPL47/PPIF/NDUFAF2/TMEM14C/GHITM/EFHD1/MRPL37/MRPS22/SLC25A10/MRPL57/AFG3L2/OMA1/MRPL21/UCP1/MRPS5/NNT/MRPL32/MRPL36/BCL2L1/IMMT/SLC25A11/NDUFB3",214
"GO:0098800","inner mitochondrial membrane protein complex","84/4502","135/19717",1.01140932668821e-22,2.56560832536577e-20,1.96248897424064e-20,"TIMM50/MCUB/NDUFS5/NDUFB7/TIMM17B/MICOS13/NDUFB8/NDUFA7/NDUFV1/COX6A1/NDUFS6/NDUFB9/NDUFA13/ROMO1/NDUFS8/NDUFA11/NDUFA3/CHCHD10/NDUFC2/ATP5MPL/NDUFA1/ATP5MC1/NDUFB2/NDUFB11/NDUFA12/NDUFV3/UQCRQ/SLC25A6/NDUFA6/ATP5PD/CHCHD6/UQCRC1/UQCR10/ATP5F1D/NDUFA2/NDUFB10/NDUFAB1/NDUFB1/NDUFS7/ATP5ME/NDUFA8/ATP5MF/NDUFS4/NDUFA10/COX4I1/NDUFS3/NDUFA4/COX5A/NDUFB4/NDUFA9/ATP5F1B/ATP5MG/ATP5MC3/ATP5F1E/MICOS10/NDUFS2/ATP5F1A/CYC1/APOO/COA3/NDUFB6/NDUFV2/SMDT1/SPG7/ATP5PF/ATP5F1C/ATP5MD/NDUFC1/UQCC3/ATP5PB/UQCRFS1/TIMM17A/CHCHD3/DMAC2/TIMM10/SDHB/C15orf48/ATP5PO/SDHC/AGK/PPIF/AFG3L2/IMMT/NDUFB3",84
"GO:0005759","mitochondrial matrix","186/4502","469/19717",1.15294307082303e-16,2.19347419224082e-14,1.67783557411878e-14,"TERT/TXNRD2/MRPL2/ECI1/TIMM44/ACADVL/HSD17B10/CDK1/NDUFB8/ETFB/SARS2/NDUFA7/MECR/PRDX5/CREB1/MRPS11/MCAT/SUCLG1/QARS1/IDH3G/NDUFS8/FPGS/MRPL28/MRPL20/PARK7/DNA2/FARS2/COASY/MRPS7/ACADS/MMAB/MRPL54/NAXE/GADD45GIP1/TXN2/GSTZ1/PDK1/GLS/MRPS26/MRPL24/POLDIP2/ATP5F1D/MRPL40/ATXN3/NDUFAB1/MRPL38/RAD51/BLOC1S1/BCKDHA/MALSU1/ARL2/MRPS28/PIN4/NDUFS7/POLG2/ACSM3/FH/HMGCL/MRPL12/MRPL27/NDUFA10/ACSF2/PCK2/OGDH/NDUFS3/RNASEL/MRPL4/PDHA1/MRPL23/NDUFA9/MDH2/ATP5F1B/IVD/ACAA2/ATP5F1E/BCKDK/SHC1/NDUFS2/ATP5F1A/PCCB/PC/LYRM7/MRPL14/GLS2/MTERF1/MPG/ATG4D/TUFM/NUDT2/EARS2/FECH/MRPS18A/MRPL43/MIPEP/ERAL1/OXCT2/MRPL17/SMDT1/ALAS1/SOD1/MRPS18B/MRPS36/MRPL34/TFB2M/FDX1/GOT2/MCCC2/GSR/ELAC2/UQCC2/IDH3B/MRPL46/ATP5F1C/CLPP/TRUB2/PCCA/SSBP1/PDHB/MRPL3/MRPL22/FASTK/LONP1/DHX30/NDUFAF7/ATAD3A/TSFM/LARS2/MRPS15/GCSH/HAGH/TYMS/ATP5PB/SNCA/AUH/PPA2/CYP27A1/MRPL51/ISCA2/NAXD/OGDHL/ALKBH7/LYRM4/ECHS1/THEM5/THEM4/NUDT1/HSD17B8/NR3C1/HSPA9/MRPS18C/MRPS35/MRPL52/ACOT9/ALDH4A1/LRRK2/MPV17L2/MRPL15/ACO2/GLDC/GARS1/MRPL47/PPIF/NUDT9/MRPL37/MRPS22/MRPL57/ALDH7A1/PDSS2/SUCLA2/AGXT/GLYAT/MRPL21/NSUN4/LRRC59/VDAC1/MRPS5/TST/SUOX/FDX2/MRPL32/ARG2/MRPL36/BCL2L1/C1QBP/SDHAF2/DLD",186
"GO:0070469","respirasome","59/4502","100/19717",7.23491859847026e-15,1.10115461068717e-12,8.42296838937696e-13,"NDUFS5/NDUFB7/NDUFB8/COX8A/NDUFA7/NDUFV1/COX6A1/NDUFS6/NDUFB9/NDUFA13/UQCR11/NDUFS8/NDUFA11/NDUFA3/NDUFC2/NDUFA1/COX7A1/NDUFB2/NDUFB11/NDUFA12/NDUFV3/UQCRQ/NDUFA6/COX7A2/UQCRC1/UQCR10/COX6B1/NDUFA2/NDUFB10/NDUFAB1/COX7B/NDUFB1/NDUFS7/NDUFA8/NDUFS4/NDUFA10/COX4I1/NDUFS3/NDUFA4/HIGD1A/COX5A/NDUFB4/NDUFA9/NDUFS2/CYC1/COA3/NDUFB6/NDUFV2/HIGD2A/NDUFC1/UQCC3/UQCRFS1/DMAC2/SDHB/C15orf48/SDHC/SURF1/NNT/NDUFB3",59
"GO:0005746","mitochondrial respirasome","54/4502","88/19717",9.67392215344529e-15,1.22697579312864e-12,9.3854016681671e-13,"NDUFS5/NDUFB7/NDUFB8/NDUFA7/NDUFV1/COX6A1/NDUFS6/NDUFB9/NDUFA13/NDUFS8/NDUFA11/NDUFA3/NDUFC2/NDUFA1/COX7A1/NDUFB2/NDUFB11/NDUFA12/NDUFV3/UQCRQ/NDUFA6/COX7A2/UQCRC1/UQCR10/NDUFA2/NDUFB10/NDUFAB1/COX7B/NDUFB1/NDUFS7/NDUFA8/NDUFS4/NDUFA10/COX4I1/NDUFS3/NDUFA4/COX5A/NDUFB4/NDUFA9/NDUFS2/CYC1/COA3/NDUFB6/NDUFV2/NDUFC1/UQCC3/UQCRFS1/DMAC2/SDHB/C15orf48/SDHC/SURF1/NNT/NDUFB3",54
"GO:0098803","respiratory chain complex","52/4502","85/19717",3.60420007633013e-14,3.91828036869604e-12,2.99717690557979e-12,"NDUFS5/NDUFB7/NDUFB8/COX8A/NDUFA7/NDUFV1/COX6A1/NDUFS6/NDUFB9/NDUFA13/NDUFS8/NDUFA11/NDUFA3/NDUFC2/NDUFA1/NDUFB2/NDUFB11/NDUFA12/NDUFV3/UQCRQ/NDUFA6/UQCRC1/UQCR10/COX6B1/NDUFA2/NDUFB10/NDUFAB1/COX7B/NDUFB1/NDUFS7/NDUFA8/NDUFS4/NDUFA10/COX4I1/NDUFS3/NDUFA4/COX5A/NDUFB4/NDUFA9/NDUFS2/CYC1/COA3/NDUFB6/NDUFV2/NDUFC1/UQCC3/UQCRFS1/DMAC2/SDHB/C15orf48/SDHC/NDUFB3",52
"GO:1990204","oxidoreductase complex","63/4502","114/19717",6.25962285300637e-14,5.95446623892231e-12,4.55469926014805e-12,"CYBB/NCF1C/NCF1/DUOX1/RRM2/NDUFS5/NDUFB7/NCF1B/NDUFB8/NDUFA7/NDUFV1/NDUFS6/NDUFB9/NDUFA13/DUOX2/NCF4/NDUFS8/NDUFA11/NDUFA3/NDUFC2/NDUFA1/NDUFB2/NDUFB11/NDUFA12/NDUFV3/UQCRQ/NDUFA6/UQCRC1/UQCR10/PDK1/NDUFA2/NDUFB10/NDUFAB1/BCKDHA/NDUFB1/NDUFS7/NDUFA8/NDUFS4/NDUFA10/OGDH/NDUFS3/NDUFA4/PDHA1/NDUFB4/NDUFA9/BCKDK/NDUFS2/CYC1/NDUFB6/NDUFV2/MRPS36/PDHB/NDUFC1/GCSH/UQCC3/UQCRFS1/OGDHL/DMAC2/SDHB/SDHC/GLDC/DLD/NDUFB3",63
"GO:0005747","mitochondrial respiratory chain complex I","36/4502","50/19717",2.08214241873445e-13,1.44046398241538e-11,1.1018418732633e-11,"NDUFS5/NDUFB7/NDUFB8/NDUFA7/NDUFV1/NDUFS6/NDUFB9/NDUFA13/NDUFS8/NDUFA11/NDUFA3/NDUFC2/NDUFA1/NDUFB2/NDUFB11/NDUFA12/NDUFV3/NDUFA6/NDUFA2/NDUFB10/NDUFAB1/NDUFB1/NDUFS7/NDUFA8/NDUFS4/NDUFA10/NDUFS3/NDUFA4/NDUFB4/NDUFA9/NDUFS2/NDUFB6/NDUFV2/NDUFC1/DMAC2/NDUFB3",36
"GO:0030964","NADH dehydrogenase complex","36/4502","50/19717",2.08214241873445e-13,1.44046398241538e-11,1.1018418732633e-11,"NDUFS5/NDUFB7/NDUFB8/NDUFA7/NDUFV1/NDUFS6/NDUFB9/NDUFA13/NDUFS8/NDUFA11/NDUFA3/NDUFC2/NDUFA1/NDUFB2/NDUFB11/NDUFA12/NDUFV3/NDUFA6/NDUFA2/NDUFB10/NDUFAB1/NDUFB1/NDUFS7/NDUFA8/NDUFS4/NDUFA10/NDUFS3/NDUFA4/NDUFB4/NDUFA9/NDUFS2/NDUFB6/NDUFV2/NDUFC1/DMAC2/NDUFB3",36
