"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009897","external side of plasma membrane","103/2417","393/19717",2.37025294654255e-14,1.65206630374015e-11,1.34979667797844e-11,"CD244/CD79B/KLRK1/P2RX7/FCRL6/IL2RB/BTN3A1/CD3E/IL12RB1/BTN3A3/FCER2/PDCD1/ITGAE/BTN2A2/CD3D/CCR6/CD6/HLA-F/CTLA4/BTN2A1/CD2/CD3G/LAG3/FASLG/IL2RG/CCR9/CD8A/BTN3A2/CD19/CD5/CCR5/ICOS/BTN1A1/CXCR4/PTPRC/CD40LG/ITGA3/CD200R1/KLRD1/IL27RA/HLA-B/ITGAM/CXCR3/MCAM/CSF2RA/CXCR5/CCR2/HLA-A/CD74/FCGR2B/ITGB2/CCR7/IL7R/ECE1/CD27/CD1C/CD28/CD83/HLA-G/CXCR6/CD69/TFR2/TF/CD248/HEG1/ENPEP/CD59/LDLR/MICB/B4GALT1/CD226/ITGB1/CD86/B2M/MS4A1/FLT3LG/ACKR3/P2RY12/CCR4/CD1A/IL13RA1/CD4/BCAM/TNFRSF14/CXCL12/TNFRSF13C/CD40/LILRB1/DAG1/SLC2A4/CXCR2/BTN2A3P/CD1E/BTNL2/IL1R1/CCR10/IZUMO1R/GFRA2/CD274/SEMA7A/PDCD1LG2/EBI3/FLOT1",103
"GO:0000776","kinetochore","43/2417","135/19717",1.61539668923388e-09,3.9539125116943e-07,3.23048654961356e-07,"NDC80/CENPK/CENPF/AURKB/NUF2/SEPTIN6/BUB1/TTK/SKA3/MTBP/DYNC1LI2/CENPM/CSNK1A1/SPC24/NEK2/BUB1B/SGO2/CENPE/KNTC1/HJURP/MAD2L1/NDE1/PHF2/NUP98/KNL1/MIS12/CLIP1/SGO1/CENPA/SEPTIN2/KAT2B/PLK1/PAFAH1B1/CENPU/SKA1/TEX14/SPC25/BIRC5/DCTN2/CENPI/CDT1/APC/BUB3",43
"GO:0042611","MHC protein complex","16/2417","25/19717",1.70182747992581e-09,3.9539125116943e-07,3.23048654961356e-07,"HLA-DPB1/HLA-F/HLA-DOA/HLA-DMB/HLA-DOB/HLA-DQA1/HLA-DPA1/HLA-B/HLA-A/CD74/HLA-DRA/HLA-G/HLA-DRB1/HLA-DQB1/HLA-DMA/B2M",16
"GO:0000775","chromosome, centromeric region","54/2417","193/19717",2.8993578602914e-09,4.82496552538102e-07,3.9421677100825e-07,"NDC80/CENPK/CENPF/AURKB/IKZF1/NUF2/SEPTIN6/BUB1/TTK/NCAPG/SKA3/MTBP/STAG3/CDCA8/DYNC1LI2/CENPM/CDCA5/HELLS/CSNK1A1/SPC24/NEK2/BUB1B/SGO2/CENPE/SYCP2L/KNTC1/HJURP/MAD2L1/NDE1/PHF2/PPP2CB/NUP98/KNL1/MIS12/CLIP1/SGO1/CENPA/SEPTIN2/KAT2B/PLK1/PAFAH1B1/CENPU/SKA1/TEX14/SPC25/CEBPB/BIRC5/DCTN2/CENPI/CDT1/APC/BUB3/CENPB/OIP5",54
"GO:0045121","membrane raft","76/2417","315/19717",3.57653088310454e-09,4.82496552538102e-07,3.9421677100825e-07,"CARD11/LCK/ZAP70/CD48/LAT2/SKAP1/TLR6/CD2/PTK2B/FASLG/RGS19/BTK/LCP2/INPP5D/CD8A/PRKAR2B/CSK/CD19/FYB2/PTPRC/TLR1/LRRK2/SELPLG/BIRC3/SDC4/ITGAM/AKAP5/CASP8/ADGRG1/CTNNA1/ITGB2/HK1/MLC1/FURIN/RAP2B/BACE1/MYO1C/KCNA3/PAG1/IRS1/ABCB4/ATP1A1/TNFRSF1A/CD226/ITGB1/BST2/CLIP3/LRP6/MS4A1/SRC/P2RY12/SPRED1/CD1A/BIRC2/CD4/DAG1/SLC2A4/LRP8/LAT/STOM/OLR1/TLR2/PRKACA/SORBS1/LTB4R/SLC9A3R1/TRADD/TUBA1B/APP/SLC34A1/FLOT1/CASP3/CRK/TRAF2/STX12/KIRREL1",76
"GO:0098857","membrane microdomain","76/2417","316/19717",4.15348538770245e-09,4.82496552538102e-07,3.9421677100825e-07,"CARD11/LCK/ZAP70/CD48/LAT2/SKAP1/TLR6/CD2/PTK2B/FASLG/RGS19/BTK/LCP2/INPP5D/CD8A/PRKAR2B/CSK/CD19/FYB2/PTPRC/TLR1/LRRK2/SELPLG/BIRC3/SDC4/ITGAM/AKAP5/CASP8/ADGRG1/CTNNA1/ITGB2/HK1/MLC1/FURIN/RAP2B/BACE1/MYO1C/KCNA3/PAG1/IRS1/ABCB4/ATP1A1/TNFRSF1A/CD226/ITGB1/BST2/CLIP3/LRP6/MS4A1/SRC/P2RY12/SPRED1/CD1A/BIRC2/CD4/DAG1/SLC2A4/LRP8/LAT/STOM/OLR1/TLR2/PRKACA/SORBS1/LTB4R/SLC9A3R1/TRADD/TUBA1B/APP/SLC34A1/FLOT1/CASP3/CRK/TRAF2/STX12/KIRREL1",76
"GO:0098687","chromosomal region","81/2417","347/19717",5.64505088590407e-09,5.62085781067877e-07,4.59243989364527e-07,"NDC80/CENPK/CENPF/AURKB/IKZF1/NUF2/TERT/SEPTIN6/ATM/BUB1/TTK/RAD51/NCAPG/SKA3/MTBP/STAG3/CDCA8/DYNC1LI2/CENPM/CDCA5/PIF1/BLM/HELLS/LRIF1/CSNK1A1/SPC24/NEK2/BUB1B/SGO2/CENPE/SYCP2L/KNTC1/HJURP/MAD2L1/NDE1/PHF2/PPP2CB/DHX36/DNA2/NUP98/KNL1/EZH2/MIS12/SMC6/CLIP1/SGO1/ORC1/DDB1/CENPA/SEPTIN2/WRN/DCLRE1C/KAT2B/TOX4/PLK1/PAFAH1B1/CDK1/BRCA2/CENPU/SKA1/H3-3B/TEX14/SPC25/CEBPB/LIG4/BIRC5/XRCC5/DCTN2/ALYREF/CENPI/CDT1/EZH1/APC/SP100/BUB3/APEX1/CENPB/RECQL4/CHEK2/OIP5/MCM5",81
"GO:0030667","secretory granule membrane","72/2417","298/19717",8.60318313840885e-09,6.77919921532849e-07,5.53884584383103e-07,"RAB37/ITGAL/LRMP/HVCN1/SELL/TBC1D10C/CD300A/CCDC136/CD53/TMC6/DBH/KCNAB2/SIGLEC5/FCGR3B/ATP8B3/SIRPB1/PTPRC/TRPM2/CYBB/STK10/NCKAP1L/DOK3/ADAM8/ITGAM/ITPR3/NBEAL2/PTAFR/TICAM2/ITGB2/TOM1/ATP6V0A1/RAP2B/PIGR/ITGAX/VAMP1/DNAJC5/TYROBP/ARL8A/NFAM1/ADGRE3/ATP11A/TMBIM1/CD59/SURF4/VNN1/B4GALT1/BST2/RAB27B/LAIR1/MGST1/CLEC12A/CR1/C3AR1/ADGRG3/RAC1/TMEM63A/CD63/PKP1/CXCR2/ANXA7/GLIPR1/ITGB3/STOM/OLR1/ALDH3B1/RAB5C/TLR2/SYNGR1/RAB31/ATP6V0C/PTPRJ/SPARC",72
"GO:0045335","phagocytic vesicle","41/2417","132/19717",8.75362882897510e-09,6.77919921532849e-07,5.53884584383103e-07,"HVCN1/CORO1A/NCF1/WAS/FMNL1/PLD4/HLA-F/TLR6/TLR7/RAC2/EVL/NCF4/TLR1/CYBB/ADAM8/HLA-B/HLA-A/ATP6V0A1/UNC93B1/RAB11B/CDC42EP4/HLA-G/MYO1C/ELANE/IRGM/TAP1/MPEG1/NCF2/B2M/RAB34/SYT7/TAP2/TLR2/ATP6V0D2/RAB31/ATP6V0C/RAB20/TLR9/APPL2/STX12/RAB38",41
"GO:0098589","membrane region","77/2417","328/19717",1.02754385161235e-08,7.16198064573807e-07,5.85159182865558e-07,"CARD11/LCK/ZAP70/CD48/LAT2/SKAP1/TLR6/CD2/PTK2B/FASLG/RGS19/BTK/LCP2/INPP5D/CD8A/PRKAR2B/CSK/CD19/FYB2/PTPRC/TLR1/LRRK2/SELPLG/BIRC3/SDC4/ITGAM/AKAP5/CASP8/ADGRG1/CTNNA1/ITGB2/HK1/MLC1/EIF5A/FURIN/RAP2B/BACE1/MYO1C/KCNA3/PAG1/IRS1/ABCB4/ATP1A1/TNFRSF1A/CD226/ITGB1/BST2/CLIP3/LRP6/MS4A1/SRC/P2RY12/SPRED1/CD1A/BIRC2/CD4/DAG1/SLC2A4/LRP8/LAT/STOM/OLR1/TLR2/PRKACA/SORBS1/LTB4R/SLC9A3R1/TRADD/TUBA1B/APP/SLC34A1/FLOT1/CASP3/CRK/TRAF2/STX12/KIRREL1",77
