<<<<<<< HEAD
"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005635","nuclear envelope","23/425","464/19717",0.000201555964335882,0.083847281163727,0.0829561916371895,"P2RX5/KPNA6/BNIP2/XPOT/NUP153/KPNA1/PAFAH1B1/ABCF1/SMAD3/SPAG4/P2RX1/PCYT1A/NUP188/ITPR3/IPO9/SLC22A18/WTAP/LBR/SP140/SEH1L/TNKS2/NUP98/CREB3L4",23
=======
"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009897","external side of plasma membrane","34/296","393/19717",1.63471301960111e-16,5.11665175135147e-14,4.54278144394413e-14,"CXCL10/IGLL5/CD79A/MS4A1/FCER2/CD19/CTLA4/CD28/TNFRSF13C/CD5/IL2RG/CCR5/CD3E/LAG3/CD2/CD6/CCR2/CD3D/CXCL9/CXCR3/IL2RB/TNFRSF9/CD8A/ICOS/CD27/PDCD1/CD200R1/XCR1/CD3G/IL5RA/IL12RB1/CD79B/CXCR5/TLR8",34
"GO:0001772","immunological synapse","9/296","36/19717",2.26355260776556e-09,3.5424598311531e-07,3.14514678131636e-07,"CD28/RHOH/CD3E/CD6/CARD11/LCK/CD37/CORO1A/GZMA",9
"GO:0005743","mitochondrial inner membrane","23/296","473/19717",8.51877788572162e-07,8.88792492743623e-05,7.89107846256319e-05,"SLC25A1/MRPL2/ACADVL/MRPL22/ATP5MPL/COX5B/MPC1/NDUFA10/NDUFB8/MRPL41/ATP5F1D/COX6A1/OXA1L/TIMM17B/NDUFA7/COX8A/COX6C/COQ3/NDUFS5/MRPL28/UQCR10/COX4I1/TIMM50",23
"GO:0098800","inner mitochondrial membrane protein complex","11/296","135/19717",6.2380542165982e-06,0.000488127742448809,0.000433380608732085,"ATP5MPL/NDUFA10/NDUFB8/ATP5F1D/COX6A1/TIMM17B/NDUFA7/NDUFS5/UQCR10/COX4I1/TIMM50",11
"GO:0098798","mitochondrial protein complex","15/296","259/19717",9.3719613414569e-06,0.000563041658926618,0.000499892375842029,"MRPL2/MRPL22/ATP5MPL/NDUFA10/NDUFB8/MRPL41/ATP5F1D/COX6A1/TIMM17B/NDUFA7/NDUFS5/MRPL28/UQCR10/COX4I1/TIMM50",15
"GO:0098802","plasma membrane signaling receptor complex","16/296","295/19717",1.07931308420438e-05,0.000563041658926618,0.000499892375842029,"CD79A/TRAT1/CD3E/CD6/ITGA4/CD3D/IL2RB/CD8A/ITGAD/CD8B/TLR6/ITGAL/CD3G/GRIA3/IL12RB1/CD79B",16
"GO:0070469","respirasome","9/296","100/19717",1.97552125907796e-05,0.000883340220130576,0.000784267086310651,"NDUFA10/NDUFB8/COX6A1/OXA1L/NDUFA7/COX8A/NDUFS5/UQCR10/COX4I1",9
