"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140098","catalytic activity, acting on RNA","24/400","386/17696",8.27788581277269e-06,0.00531440269180007,0.00504515356378462,"4141/8565/93587/833/6897/11325/6301/54464/10535/3376/2617/9188/1665/1973/246243/170506/55718/9879/1654/138428/51651/9271/10146/10247",24
"GO:0004812","aminoacyl-tRNA ligase activity","7/400","41/17696",3.31267142600051e-05,0.00708911685164108,0.00672995352861156,"4141/8565/833/6897/6301/3376/2617",7
"GO:0016875","ligase activity, forming carbon-oxygen bonds","7/400","41/17696",3.31267142600051e-05,0.00708911685164108,0.00672995352861156,"4141/8565/833/6897/6301/3376/2617",7
"GO:0000049","tRNA binding","8/400","60/17696",5.81773891326756e-05,0.00933747095579444,0.00886439692311032,"4141/8565/57510/93587/833/6897/11260/3376",8
"GO:0004386","helicase activity","13/400","163/17696",8.73013950400639e-05,0.0112094991231442,0.0106415805743573,"9044/7486/11325/9188/1665/1973/170506/9879/1106/23132/1654/1105/10146",13
"GO:0003724","RNA helicase activity","8/400","78/17696",0.000374515833510502,0.0400731941856237,0.0380429241408036,"11325/9188/1665/1973/170506/9879/1654/10146",8
"GO:0140101","catalytic activity, acting on a tRNA","10/400","122/17696",0.000452647457372444,0.0415142382333013,0.039410959070473,"4141/8565/93587/833/6897/6301/3376/2617/138428/51651",10
"GO:0050321","tau-protein kinase activity","4/400","22/17696",0.00136208250735231,0.109307121215023,0.10376918049434,"23387/1020/84630/1453",4
"GO:0016874","ligase activity","10/400","145/17696",0.00171468098164843,0.122313910024255,0.116116992792332,"4141/8565/833/6897/440/6301/3376/2617/10054/142827",10
"GO:0008139","nuclear localization sequence binding","4/400","25/17696",0.00223291842501853,0.138096531930777,0.131100003259419,"23633/9972/3836/4928",4
"GO:0003678","DNA helicase activity","7/400","81/17696",0.00236613995520023,0.138096531930777,0.131100003259419,"7486/170506/1106/23132/1654/1105/10146",7
"GO:0030515","snoRNA binding","4/400","26/17696",0.00259238921017186,0.138692822744194,0.131666083569255,"9188/8602/51602/55720",4
"GO:0008135","translation factor activity, RNA binding","7/400","85/17696",0.0031108329561434,0.149790607558111,0.142201609732983,"23/2107/1973/8890/8894/8662/64506",7
"GO:0043021","ribonucleoprotein complex binding","9/400","133/17696",0.00326646184706161,0.149790607558111,0.142201609732983,"57510/5292/2107/5018/1654/6059/5935/64506/9271",9
