"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","entrez"
"ENSG00000152583",997.439773207048,4.56334706485787,0.185619897828709,2.22231970361905e-136,3.99884207469212e-132,"SPARCL1","8404"
"ENSG00000165995",495.092906698546,3.28035231080264,0.133330866928837,7.83975707166287e-135,7.05342943737508e-131,"CACNB2","783"
"ENSG00000120129",3409.02937530956,2.93799351420555,0.122027770825157,3.66731992975793e-130,2.19965849386881e-126,"DUSP1","1843"
"ENSG00000101347",12703.3870621821,3.75351791758597,0.15705442810467,9.5823378596885e-130,4.31061468618087e-126,"SAMHD1","25939"
"ENSG00000189221",2341.76725275591,3.34218643468021,0.143093947290815,1.09937071871435e-123,3.9564153425092e-120,"MAOA","4128"
"ENSG00000211445",12285.6151498691,3.71695196968079,0.167889677020798,4.61813770359153e-112,1.3849794973071e-108,"GPX3","2878"
"ENSG00000157214",3009.26322295794,1.96828903663839,0.0901843315141674,5.76907556542323e-107,1.48298208177465e-103,"STEAP2","261729"
"ENSG00000162614",5393.10168349223,2.02802828175918,0.0944670074123641,1.32374646944426e-103,2.97743674639749e-100,"NEXN","91624"
"ENSG00000125148",3656.252782247,2.2032467513627,0.106042355318065,2.90221027953438e-97,5.80248575221574e-94,"MT2A","4502"
"ENSG00000154734",30315.1354711078,2.34504274729492,0.116193843903477,3.25945584932127e-91,5.8650648552687e-88,"ADAMTS1","9510"
"ENSG00000139132",1223.46614081102,2.21724834177827,0.113232605436262,7.57804468008989e-87,1.23963032703216e-83,"FGD4","121512"
"ENSG00000162493",1099.62586594636,1.88212538502713,0.0959904191945059,8.76771495489119e-87,1.31471885748593e-83,"PDPN","10630"
"ENSG00000134243",5510.95825597916,2.18261331816261,0.112591685663638,1.45114988170219e-85,2.00861469010378e-82,"SORT1","6272"
"ENSG00000179094",776.596665468835,3.17462270268959,0.165326523361782,2.12109133842615e-84,2.7262083959743e-81,"PER1","5187"
"ENSG00000162692",508.170232439755,-3.6738436374127,0.192026910279317,5.64321511386299e-84,6.76960085059005e-81,"VCAM1","7412"
"ENSG00000163884",561.107166129071,4.43364288829492,0.237481066593145,2.22558439607545e-80,2.50294785143636e-77,"KLF15","28999"
"ENSG00000178695",2649.85014895882,-2.51194114497844,0.135441104948158,6.66707120284393e-79,7.05689877788081e-76,"KCTD12","115207"
"ENSG00000198624",2057.19173059348,2.90050614534503,0.163134733428547,3.57763499215466e-73,3.57644244715728e-70,"CCDC69","26112"
"ENSG00000107562",25136.3075719089,-1.89975982357162,0.106126875134034,4.78614978266511e-73,4.532735746804e-70,"CXCL12","6387"
"ENSG00000148848",1365.17398590702,-1.80408540993257,0.100830665562612,6.81455165838418e-73,6.13105212704825e-70,"ADAM12","8038"
"ENSG00000146250",313.689977800113,-2.7392772224155,0.155320120104753,7.72258138379653e-71,6.61714902000166e-68,"PRSS35","167681"
"ENSG00000106976",884.745882993046,-1.74541254514267,0.0999707259064299,1.93141688247065e-69,1.57972342650804e-66,"DNM1","1759"
"ENSG00000154930",670.046703530433,1.88658222329972,0.109012516628768,2.47529910500356e-68,1.93654487371452e-65,"ACSS1","84532"
"ENSG00000163394",1216.6020649876,-2.17369001681701,0.125970405325596,3.53702881625496e-68,2.65188735498715e-65,"CCKAR","886"
